point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,4.6153846383e-01,5.4945056327e-03,5.3845381737e-01,nan,nan,-1.0953328572e-02,1.1997540423e-04,1.0206233710e-02,1.0002751350e+00,1.0002751350e+00,1.0236227561e-02
interior,,4.6703296900e-01,5.4945056327e-03,5.3295773268e-01,nan,nan,-9.5998607576e-03,9.2157330073e-05,1.0206233710e-02,1.0002751350e+00,1.0002751350e+00,1.0229273043e-02
interior,,4.7252747416e-01,5.4945056327e-03,5.2746164799e-01,nan,nan,-8.4339044988e-03,7.1130743891e-05,1.0206139646e-02,1.0002691746e+00,1.0002691746e+00,1.0223922332e-02
interior,,4.7802197933e-01,5.4945056327e-03,5.2196586132e-01,nan,nan,-6.9223381579e-03,4.7918765631e-05,1.0205986910e-02,1.0002592802e+00,1.0002592802e+00,1.0217966601e-02
interior,,4.8351648450e-01,5.4945056327e-03,5.1646971703e-01,nan,nan,-5.6145614944e-03,3.1523301004e-05,1.0206997395e-02,1.0003240108e+00,1.0003240108e+00,1.0214878220e-02
interior,,4.8901098967e-01,5.4945056327e-03,5.1097375154e-01,nan,nan,-3.6813209299e-03,1.3552124074e-05,1.0204491206e-02,1.0001636744e+00,1.0001636744e+00,1.0207879237e-02
interior,,4.9450549483e-01,5.4945056327e-03,5.0547802448e-01,nan,nan,-2.6114571374e-03,6.8197082328e-06,1.0206256993e-02,1.0002765656e+00,1.0002765656e+00,1.0207961920e-02
interior,,5.0000000000e-01,5.4945056327e-03,4.9998196959e-01,nan,nan,-1.7148171319e-03,2.9405978239e-06,1.0206081904e-02,1.0002654791e+00,1.0002654791e+00,1.0206817054e-02
interior,,5.0549453497e-01,5.4945056327e-03,4.9448654056e-01,nan,nan,8.9635577751e-05,8.0345365916e-09,1.0203846730e-02,1.0001224279e+00,1.0001224279e+00,1.0203848739e-02
interior,,5.1098901033e-01,5.4945056327e-03,4.8899120092e-01,nan,nan,6.3982378924e-04,4.0937447920e-07,1.0203397833e-02,1.0000936985e+00,1.0000936985e+00,1.0203500176e-02
