point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,3.4615385532e-01,5.4945056327e-03,6.5379817078e-01,nan,nan,8.7920269366e-02,7.7299737655e-03,1.8844540927e-01,1.0004589916e+00,1.0004589916e+00,7.7299737655e-03
interior,,3.5164836049e-01,5.4945056327e-03,6.4830223397e-01,nan,nan,6.9671383133e-02,4.8541016277e-03,1.8834897835e-01,1.0001528893e+00,1.0001528893e+00,4.8541016277e-03
interior,,3.5714286566e-01,5.4945056327e-03,6.4280765152e-01,nan,nan,5.2491016453e-02,2.7553068082e-03,1.8829662109e-01,9.9998667111e-01,9.9998667111e-01,2.7553068082e-03
interior,,3.6263737082e-01,5.4945056327e-03,6.3731348257e-01,nan,nan,3.9141403916e-02,1.5320495005e-03,1.8830203778e-01,1.0000038681e+00,1.0000038681e+00,1.5320495005e-03
interior,,3.6813187599e-01,5.4945056327e-03,6.3181884617e-01,nan,nan,3.0166352618e-02,9.1000883028e-04,1.8834572614e-01,1.0001425649e+00,1.0001425649e+00,9.1000883028e-04
interior,,3.7362638116e-01,5.4945056327e-03,6.2632341870e-01,nan,nan,1.8217097347e-02,3.3186263577e-04,1.8838677312e-01,1.0002728674e+00,1.0002728674e+00,3.3186263577e-04
interior,,3.7912088633e-01,5.4945056327e-03,6.2082757502e-01,nan,nan,4.1047322088e-04,1.6848826506e-07,1.8839100234e-01,1.0002862925e+00,1.0002862925e+00,1.6848826506e-07
interior,,3.8461539149e-01,5.4945056327e-03,6.1533202775e-01,nan,nan,-1.4000919640e-02,1.9602575078e-04,1.8835552613e-01,1.0001736755e+00,1.0001736755e+00,1.9602575078e-04
interior,,3.9010989666e-01,5.4945056327e-03,6.0983727473e-01,nan,nan,-1.3420152109e-02,1.8010048264e-04,1.8830478221e-01,1.0000125811e+00,1.0000125811e+00,1.8010048264e-04
interior,,3.9560440183e-01,5.4945056327e-03,6.0434332626e-01,nan,nan,4.7410288454e-03,2.2477354513e-05,1.8826646726e-01,9.9989093571e-01,9.9989093571e-01,2.2477354513e-05
interior,,4.0109890699e-01,5.4945056327e-03,5.9884982618e-01,nan,nan,3.3392620905e-02,1.1150671309e-03,1.8825366311e-01,9.9985028244e-01,9.9985028244e-01,1.1150671309e-03
