# source=last_training_epoch
boundary_label,x,y,phi_pred,phi_target,abs_error
G3,0.28643510,0.00000000,7.13564903e-01,7.13564903e-01,0.00000000e+00
G3,0.97846031,0.00000000,2.15396881e-02,2.15396881e-02,0.00000000e+00
G3,0.94609463,0.00000000,5.39053679e-02,5.39053679e-02,0.00000000e+00
G3,0.09894880,0.00000000,9.01051201e-01,9.01051201e-01,0.00000000e+00
G3,0.36155188,0.00000000,6.38448119e-01,6.38448119e-01,0.00000000e+00
G3,0.33092502,0.00000000,6.69074982e-01,6.69074982e-01,0.00000000e+00
G3,0.49647734,0.00000000,5.03522664e-01,5.03522664e-01,0.00000000e+00
G3,0.14679311,0.00000000,8.53206888e-01,8.53206888e-01,0.00000000e+00
G3,0.87861234,0.00000000,1.21387661e-01,1.21387661e-01,0.00000000e+00
G3,0.42622778,0.00000000,5.73772222e-01,5.73772222e-01,0.00000000e+00
G3,0.53916794,0.00000000,4.60832059e-01,4.60832059e-01,0.00000000e+00
G3,0.95779592,0.00000000,4.22040820e-02,4.22040820e-02,0.00000000e+00
G3,0.67049581,0.00000000,3.29504192e-01,3.29504192e-01,0.00000000e+00
G3,0.71805435,0.00000000,2.81945646e-01,2.81945646e-01,0.00000000e+00
G3,0.19527814,0.00000000,8.04721862e-01,8.04721862e-01,0.00000000e+00
G3,0.59340644,0.00000000,4.06593561e-01,4.06593561e-01,0.00000000e+00
G3,0.67610389,0.00000000,3.23896110e-01,3.23896110e-01,0.00000000e+00
G3,0.86399800,0.00000000,1.36002004e-01,1.36002004e-01,0.00000000e+00
G3,0.71144289,0.00000000,2.88557112e-01,2.88557112e-01,0.00000000e+00
G3,0.54062676,0.00000000,4.59373236e-01,4.59373236e-01,0.00000000e+00
G3,0.36417195,0.00000000,6.35828048e-01,6.35828048e-01,0.00000000e+00
G3,0.18762858,0.00000000,8.12371418e-01,8.12371418e-01,0.00000000e+00
G3,0.97718030,0.00000000,2.28196979e-02,2.28196979e-02,0.00000000e+00
G3,0.07014941,0.00000000,9.29850593e-01,9.29850593e-01,0.00000000e+00
G3,0.57771587,0.00000000,4.22284126e-01,4.22284126e-01,0.00000000e+00
G3,0.99841583,0.00000000,1.58417225e-03,1.58417225e-03,0.00000000e+00
G3,0.84338272,0.00000000,1.56617284e-01,1.56617284e-01,0.00000000e+00
G3,0.50180215,0.00000000,4.98197854e-01,4.98197854e-01,0.00000000e+00
G3,0.57886583,0.00000000,4.21134174e-01,4.21134174e-01,0.00000000e+00
G3,0.83393228,0.00000000,1.66067719e-01,1.66067719e-01,0.00000000e+00
G3,0.67360544,0.00000000,3.26394558e-01,3.26394558e-01,0.00000000e+00
G3,0.72451335,0.00000000,2.75486648e-01,2.75486648e-01,0.00000000e+00
G3,0.41942275,0.00000000,5.80577254e-01,5.80577254e-01,0.00000000e+00
G3,0.02352864,0.00000000,9.76471357e-01,9.76471357e-01,0.00000000e+00
G3,0.77878577,0.00000000,2.21214235e-01,2.21214235e-01,0.00000000e+00
G3,0.78159750,0.00000000,2.18402505e-01,2.18402505e-01,0.00000000e+00
G3,0.20052741,0.00000000,7.99472585e-01,7.99472585e-01,0.00000000e+00
G3,0.73295069,0.00000000,2.67049313e-01,2.67049313e-01,0.00000000e+00
G3,0.19527203,0.00000000,8.04727972e-01,8.04727972e-01,0.00000000e+00
